@relation recipes
@attribute "ausbauf" numeric
@attribute "kostenlo" numeric
@attribute "magazin" numeric
@attribute "rezepte" numeric
@attribute "sammlung" numeric
@attribute "foren" numeric
@attribute "gruppen" numeric
@attribute "user" numeric
@attribute "chefkoch" numeric
@attribute "de" numeric
@attribute "aktuell" numeric
@attribute "artikel" numeric
@attribute "print" numeric
@attribute "abo" numeric
@attribute "partnerm" numeric
@attribute "aeg" numeric
@attribute "perfekt" numeric
@attribute "form" numeric
@attribute "funktion" numeric
@attribute "philadel" numeric
@attribute "ideen" numeric
@attribute "wmf" numeric
@attribute "leben" numeric
@attribute "schmeckt" numeric
@attribute "sch" numeric
@attribute "rubrik" numeric
@attribute "saisonal" numeric
@attribute "backen" numeric
@attribute "chenger" numeric
@attribute "te" numeric
@attribute "zubeh" numeric
@attribute "reis" numeric
@attribute "pasta" numeric
@attribute "co" numeric
@attribute "fleisch" numeric
@attribute "fisch" numeric
@attribute "obst" numeric
@attribute "gem" numeric
@attribute "se" numeric
@attribute "regional" numeric
@attribute italian {1,0}
@data
{ 0 9.804763064710884e-7,1 0.000002941428919413265,2 0.0000039219052258843535,3 0.00002451190766177721,4 0.0000019609526129421768,5 0.000002941428919413265,6 0.000002941428919413265,7 0.000002941428919413265,8 0.000017648573516479592,9 0.00001176571567765306,10 0.00000588285783882653,11 9.804763064710884e-7,12 0.0000019609526129421768,13 0.0000019609526129421768,14 9.804763064710884e-7,15 9.804763064710884e-7,16 0.000002941428919413265,17 9.804763064710884e-7,18 9.804763064710884e-7,19 0.0000019609526129421768,20 0.0000019609526129421768,21 9.804763064710884e-7,22 9.804763064710884e-7,23 0.00000588285783882653,24 0.0000019609526129421768,25 9.804763064710884e-7,26 9.804763064710884e-7,27 0.0000039219052258843535,28 9.804763064710884e-7,29 0.0000019609526129421768,30 9.804763064710884e-7,31 0.000004902381532355442,32 0.000002941428919413265,33 0.0000019609526129421768,34 9.804763064710884e-7,35 9.804763064710884e-7,36 9.804763064710884e-7,37 0.000002941428919413265,38 0.000007843810451768707,39 9.804763064710884e-7,40 0}
{ 0 3.692432047774099e-7,1 0.0000011077296143322297,2 0.0000014769728191096395,3 0.000010338809733767478,4 7.384864095548197e-7,5 0.0000011077296143322297,6 0.0000011077296143322297,7 0.0000011077296143322297,8 0.000006646377685993378,9 0.000004430918457328919,10 0.0000022154592286644594,11 3.692432047774099e-7,12 7.384864095548197e-7,13 7.384864095548197e-7,14 3.692432047774099e-7,15 3.692432047774099e-7,16 0.0000025847024334418694,17 3.692432047774099e-7,18 3.692432047774099e-7,19 7.384864095548197e-7,20 3.692432047774099e-7,21 3.692432047774099e-7,22 3.692432047774099e-7,23 0.000003323188842996689,24 0.000004061675252551509,25 3.692432047774099e-7,26 3.692432047774099e-7,27 0.0000022154592286644594,28 3.692432047774099e-7,29 0.0000011077296143322297,30 3.692432047774099e-7,31 3.692432047774099e-7,32 3.692432047774099e-7,33 0.0000011077296143322297,34 7.384864095548197e-7,35 7.384864095548197e-7,36 7.384864095548197e-7,37 3.692432047774099e-7,38 0.0000011077296143322297,39 3.692432047774099e-7,40 0}
{ 0 5.878872162783966e-7,1 0.0000017636616488351897,2 0.0000023515488651135862,3 0.000015285067623238308,4 0.0000011757744325567931,5 0.0000017636616488351897,6 0.0000017636616488351897,7 0.0000017636616488351897,8 0.000010581969893011137,9 0.000007054646595340759,10 0.0000035273232976703794,11 5.878872162783966e-7,12 0.0000011757744325567931,13 0.0000011757744325567931,14 5.878872162783966e-7,15 5.878872162783966e-7,16 0.000002939436081391983,17 5.878872162783966e-7,18 5.878872162783966e-7,19 0.0000011757744325567931,20 0.0000017636616488351897,21 5.878872162783966e-7,22 5.878872162783966e-7,23 0.000002939436081391983,24 0.000009406195460454345,25 5.878872162783966e-7,26 5.878872162783966e-7,27 0.0000017636616488351897,28 5.878872162783966e-7,29 0.0000011757744325567931,30 5.878872162783966e-7,31 0.0000011757744325567931,32 0.0000035273232976703794,33 5.878872162783966e-7,34 5.878872162783966e-7,35 5.878872162783966e-7,36 5.878872162783966e-7,37 0.0000023515488651135862,38 0.000005878872162783966,39 5.878872162783966e-7,40 1}
{ 0 4.86663786442464e-7,1 0.0000014599913593273919,2 0.000001946655145769856,3 0.000012653258447504064,4 9.73327572884928e-7,5 0.0000014599913593273919,6 0.0000014599913593273919,7 0.0000014599913593273919,8 0.000008759948155964351,9 0.000006326629223752032,10 0.0000029199827186547838,11 4.86663786442464e-7,12 9.73327572884928e-7,13 9.73327572884928e-7,14 4.86663786442464e-7,15 4.86663786442464e-7,16 0.000003893310291539712,17 4.86663786442464e-7,18 4.86663786442464e-7,19 9.73327572884928e-7,20 4.86663786442464e-7,21 4.86663786442464e-7,22 4.86663786442464e-7,23 0.0000034066465050972476,24 0.000001946655145769856,25 4.86663786442464e-7,26 4.86663786442464e-7,27 0.0000014599913593273919,28 4.86663786442464e-7,29 9.73327572884928e-7,30 4.86663786442464e-7,31 4.86663786442464e-7,32 9.73327572884928e-7,33 9.73327572884928e-7,34 0.000005353301650867104,35 4.86663786442464e-7,36 4.86663786442464e-7,37 0.0000014599913593273919,38 0.000003893310291539712,39 4.86663786442464e-7,40 1}
{ 0 0.0000010031462788750443,1 0.0000030094388366251325,2 0.000004012585115500177,3 0.000022069218135250973,4 0.0000020062925577500885,5 0.0000030094388366251325,6 0.0000030094388366251325,7 0.0000030094388366251325,8 0.000018056633019750795,9 0.00001203775534650053,10 0.000006018877673250265,11 0.0000010031462788750443,12 0.0000020062925577500885,13 0.0000020062925577500885,14 0.0000010031462788750443,15 0.0000010031462788750443,16 0.000006018877673250265,17 0.0000010031462788750443,18 0.0000010031462788750443,19 0.0000020062925577500885,20 0.0000020062925577500885,21 0.0000010031462788750443,22 0.0000010031462788750443,23 0.000004012585115500177,24 0.000006018877673250265,25 0.0000010031462788750443,26 0.0000010031462788750443,27 0.0000030094388366251325,28 0.0000010031462788750443,29 0.0000020062925577500885,30 0.0000010031462788750443,31 0.0000010031462788750443,32 0.0000020062925577500885,33 0.0000020062925577500885,34 0.0000020062925577500885,35 0.0000020062925577500885,36 0.0000010031462788750443,37 0.000006018877673250265,38 0.000006018877673250265,39 0.0000020062925577500885,40 0}
{ 0 3.3868912225874836e-7,1 0.000001016067366776245,2 0.0000013547564890349934,3 0.00000846722805646871,4 0.000001016067366776245,5 0.000001016067366776245,6 0.000001016067366776245,7 0.0000013547564890349934,8 0.00000609640420065747,9 0.00000406426946710498,10 0.00000203213473355249,11 3.3868912225874836e-7,12 6.773782445174967e-7,13 6.773782445174967e-7,14 3.3868912225874836e-7,15 3.3868912225874836e-7,16 0.0000016934456112937418,17 3.3868912225874836e-7,18 3.3868912225874836e-7,19 6.773782445174967e-7,20 3.3868912225874836e-7,21 3.3868912225874836e-7,22 3.3868912225874836e-7,23 0.0000016934456112937418,24 0.0000016934456112937418,25 3.3868912225874836e-7,26 3.3868912225874836e-7,27 0.0000013547564890349934,28 3.3868912225874836e-7,29 6.773782445174967e-7,30 3.3868912225874836e-7,31 6.773782445174967e-7,32 3.3868912225874836e-7,33 6.773782445174967e-7,34 0.00000609640420065747,35 0.000001016067366776245,36 6.773782445174967e-7,37 0.000005757715078398722,38 0.000005419025956139974,39 3.3868912225874836e-7,40 0}
{ 0 8.056838730054905e-7,1 0.0000024170516190164715,2 0.000003222735492021962,3 0.000018530729079126282,4 0.000001611367746010981,5 0.0000024170516190164715,6 0.0000024170516190164715,7 0.0000024170516190164715,8 0.00001450230971409883,9 0.000010473890349071377,10 0.000004834103238032943,11 8.056838730054905e-7,12 0.000001611367746010981,13 0.000001611367746010981,14 8.056838730054905e-7,15 8.056838730054905e-7,16 0.000003222735492021962,17 8.056838730054905e-7,18 8.056838730054905e-7,19 0.000001611367746010981,20 8.056838730054905e-7,21 8.056838730054905e-7,22 8.056838730054905e-7,23 0.0000024170516190164715,24 0.000001611367746010981,25 8.056838730054905e-7,26 8.056838730054905e-7,27 0.000003222735492021962,28 8.056838730054905e-7,29 0.000001611367746010981,30 8.056838730054905e-7,31 8.056838730054905e-7,32 0.000001611367746010981,33 0.000003222735492021962,34 0.000001611367746010981,35 0.000004834103238032943,36 8.056838730054905e-7,37 0.0000040284193650274524,38 0.000001611367746010981,39 8.056838730054905e-7,40 0}
{ 0 4.3105888287477065e-7,1 0.000001293176648624312,2 0.0000017242355314990826,3 0.000010345413188994496,4 8.621177657495413e-7,5 0.000001293176648624312,6 0.000001293176648624312,7 0.000001293176648624312,8 0.000007759059891745871,9 0.000005172706594497248,10 0.000002586353297248624,11 4.3105888287477065e-7,12 8.621177657495413e-7,13 8.621177657495413e-7,14 4.3105888287477065e-7,15 4.3105888287477065e-7,16 0.000002155294414373853,17 4.3105888287477065e-7,18 4.3105888287477065e-7,19 8.621177657495413e-7,20 4.3105888287477065e-7,21 4.3105888287477065e-7,22 4.3105888287477065e-7,23 0.0000017242355314990826,24 0.0000030174121801233943,25 4.3105888287477065e-7,26 4.3105888287477065e-7,27 0.000001293176648624312,28 4.3105888287477065e-7,29 0.000001293176648624312,30 4.3105888287477065e-7,31 8.621177657495413e-7,32 4.3105888287477065e-7,33 4.3105888287477065e-7,34 0.000003448471062998165,35 4.3105888287477065e-7,36 4.3105888287477065e-7,37 0.000001293176648624312,38 0.000006034824360246789,39 4.3105888287477065e-7,40 1}
{ 0 0.0000010956079939733753,1 0.000003286823981920126,2 0.000004382431975893501,3 0.000024103375867414256,4 0.0000021912159879467507,5 0.000003286823981920126,6 0.000003286823981920126,7 0.000003286823981920126,8 0.000019720943891520758,9 0.000013147295927680504,10 0.000006573647963840252,11 0.0000010956079939733753,12 0.0000021912159879467507,13 0.0000021912159879467507,14 0.0000010956079939733753,15 0.0000010956079939733753,16 0.000003286823981920126,17 0.000003286823981920126,18 0.0000010956079939733753,19 0.0000021912159879467507,20 0.0000010956079939733753,21 0.0000010956079939733753,22 0.0000010956079939733753,23 0.0000021912159879467507,24 0.0000021912159879467507,25 0.0000010956079939733753,26 0.0000010956079939733753,27 0.000003286823981920126,28 0.0000010956079939733753,29 0.0000021912159879467507,30 0.0000010956079939733753,31 0.0000010956079939733753,32 0.0000010956079939733753,33 0.0000010956079939733753,34 0.0000010956079939733753,35 0.0000010956079939733753,36 0.0000010956079939733753,37 0.000003286823981920126,38 0.00001424290392165388,39 0.0000010956079939733753,40 0}
{ 0 0.0000010928482761044247,1 0.0000032785448283132743,2 0.000004371393104417699,3 0.000026228358626506194,4 0.0000021856965522088494,5 0.0000032785448283132743,6 0.0000032785448283132743,7 0.0000032785448283132743,8 0.00002076411724598407,9 0.000014207027589357522,10 0.000006557089656626549,11 0.0000010928482761044247,12 0.0000021856965522088494,13 0.0000021856965522088494,14 0.0000010928482761044247,15 0.0000010928482761044247,16 0.0000032785448283132743,17 0.0000021856965522088494,18 0.0000010928482761044247,19 0.0000021856965522088494,20 0.0000010928482761044247,21 0.0000010928482761044247,22 0.0000010928482761044247,23 0.000004371393104417699,24 0.0000021856965522088494,25 0.0000010928482761044247,26 0.0000010928482761044247,27 0.000009835634484939822,28 0.0000010928482761044247,29 0.0000021856965522088494,30 0.0000010928482761044247,31 0.0000010928482761044247,32 0.0000010928482761044247,33 0.0000010928482761044247,34 0.0000010928482761044247,35 0.0000010928482761044247,36 0.0000021856965522088494,37 0.0000010928482761044247,38 0.0000021856965522088494,39 0.0000010928482761044247,40 0}
{ 0 0.0000013515911701353788,1 0.000004054773510406137,2 0.000005406364680541515,3 0.00003108659691311371,4 0.0000027031823402707576,5 0.000004054773510406137,6 0.000004054773510406137,7 0.000004054773510406137,8 0.0000256802322325722,9 0.000017570685211759924,10 0.000008109547020812273,11 0.0000013515911701353788,12 0.0000027031823402707576,13 0.0000027031823402707576,14 0.0000013515911701353788,15 0.0000013515911701353788,16 0.000004054773510406137,17 0.0000013515911701353788,18 0.0000013515911701353788,19 0.0000027031823402707576,20 0.0000013515911701353788,21 0.0000013515911701353788,22 0.0000013515911701353788,23 0.0000027031823402707576,24 0.0000027031823402707576,25 0.0000013515911701353788,26 0.0000013515911701353788,27 0.000004054773510406137,28 0.0000013515911701353788,29 0.0000027031823402707576,30 0.0000013515911701353788,31 0.0000013515911701353788,32 0.0000027031823402707576,33 0.0000027031823402707576,34 0.0000013515911701353788,35 0.0000027031823402707576,36 0.0000013515911701353788,37 0.000004054773510406137,38 0.0000013515911701353788,39 0.0000013515911701353788,40 1}
{ 0 6.206877905771911e-7,1 0.0000018620633717315736,2 0.0000024827511623087645,3 0.000014275819183275399,4 0.0000012413755811543823,5 0.0000018620633717315736,6 0.0000018620633717315736,7 0.0000018620633717315736,8 0.000011172380230389442,9 0.0000074482534869262944,10 0.0000037241267434631472,11 6.206877905771911e-7,12 0.0000012413755811543823,13 0.0000012413755811543823,14 6.206877905771911e-7,15 6.206877905771911e-7,16 0.0000037241267434631472,17 6.206877905771911e-7,18 6.206877905771911e-7,19 0.0000012413755811543823,20 6.206877905771911e-7,21 6.206877905771911e-7,22 6.206877905771911e-7,23 0.0000024827511623087645,24 0.0000024827511623087645,25 6.206877905771911e-7,26 6.206877905771911e-7,27 0.0000018620633717315736,28 6.206877905771911e-7,29 0.0000012413755811543823,30 6.206877905771911e-7,31 0.0000012413755811543823,32 0.000004344814534040338,33 0.0000018620633717315736,34 6.206877905771911e-7,35 0.0000012413755811543823,36 6.206877905771911e-7,37 0.0000018620633717315736,38 0.0000024827511623087645,39 6.206877905771911e-7,40 1}
{ 0 6.14098748214376e-7,1 0.0000018422962446431278,2 0.000002456394992857504,3 0.000013510172460716272,4 0.000001228197496428752,5 0.0000018422962446431278,6 0.0000018422962446431278,7 0.0000018422962446431278,8 0.000011053777467858768,9 0.000007369184978572511,10 0.0000036845924892862556,11 6.14098748214376e-7,12 0.000001228197496428752,13 0.000001228197496428752,14 6.14098748214376e-7,15 6.14098748214376e-7,16 0.0000036845924892862556,17 0.0000018422962446431278,18 6.14098748214376e-7,19 0.000001228197496428752,20 6.14098748214376e-7,21 6.14098748214376e-7,22 6.14098748214376e-7,23 0.0000018422962446431278,24 0.0000061409874821437596,25 6.14098748214376e-7,26 6.14098748214376e-7,27 0.0000018422962446431278,28 6.14098748214376e-7,29 0.000001228197496428752,30 6.14098748214376e-7,31 6.14098748214376e-7,32 6.14098748214376e-7,33 0.000001228197496428752,34 6.14098748214376e-7,35 6.14098748214376e-7,36 6.14098748214376e-7,37 6.14098748214376e-7,38 6.14098748214376e-7,39 6.14098748214376e-7,40 1}
{ 0 4.799344752361246e-7,1 0.0000014398034257083739,2 0.0000019197379009444983,3 0.000011998361880903115,4 9.598689504722492e-7,5 0.0000014398034257083739,6 0.0000014398034257083739,7 0.0000014398034257083739,8 0.000008638820554250243,9 0.0000057592137028334955,10 0.0000028796068514167477,11 4.799344752361246e-7,12 9.598689504722492e-7,13 9.598689504722492e-7,14 4.799344752361246e-7,15 4.799344752361246e-7,16 0.0000028796068514167477,17 4.799344752361246e-7,18 4.799344752361246e-7,19 9.598689504722492e-7,20 9.598689504722492e-7,21 4.799344752361246e-7,22 4.799344752361246e-7,23 0.0000028796068514167477,24 0.0000014398034257083739,25 4.799344752361246e-7,26 4.799344752361246e-7,27 0.0000014398034257083739,28 4.799344752361246e-7,29 9.598689504722492e-7,30 4.799344752361246e-7,31 4.799344752361246e-7,32 0.000003359541326652872,33 9.598689504722492e-7,34 4.799344752361246e-7,35 4.799344752361246e-7,36 4.799344752361246e-7,37 9.598689504722492e-7,38 0.000003839475801888997,39 4.799344752361246e-7,40 1}
